Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Calisthenics duration (ms),Hiking duration (ms),Sleep duration (ms)
2018-06-07,1340.7009613653122,5707.782262234017,22.24872398376465,84.89970397949219,22.256195068359375,84.90708923339844,0.6091358345426989,3.5935750007629395,0.06147478520870209,10217,,,,,78646335,7609936,,,
2018-06-08,1232.5044154186596,14894.155340343714,22.249971389770508,84.89981842041016,22.256196975708008,84.91243743896484,0.7715442342345236,2.354982852935791,0.04740528017282486,24553,,,,,70265986,15979914,,,
2018-06-09,1230.1247543059665,6045.689161598682,22.24017906188965,84.82688903808594,22.256193161010742,84.91194915771484,0.7734216331577897,1.6737233400344849,0.0,9774,,,,,78727917,6231032,,,
2018-06-10,1288.0843965423624,4986.630825042725,22.251699447631836,84.90447998046875,22.256193161010742,84.91004180908203,0.7254857256427575,1.5903583765029907,0.2815583050251007,9116,,,,,80470841,5678874,,,
2018-06-11,1352.1885267978498,7043.126479744911,22.248788833618164,84.90036010742188,22.255754470825195,84.91099548339844,0.8902959569027381,2.2982192039489746,0.0,11896,,,,,75817264,8013995,,,
2018-06-12,1252.5513738756954,2252.992720782757,22.251708984375,84.90122985839844,22.25607681274414,84.90663146972656,0.6923875004182697,1.642060399055481,0.2552799582481384,4686,,,,,80564848,4367176,,,
2018-06-13,1271.4714631939985,3039.233265578747,22.223804473876953,84.82013702392578,22.255786895751953,84.91352081298828,0.8558886864207043,1.8467824459075928,0.02093195728957653,5988,,,,,73875252,5065625,,,
2018-06-14,1273.4925696637172,3285.6515095829964,22.224857330322266,84.82303619384766,22.255908966064453,84.91307830810547,0.7790310824997299,2.057889699935913,0.27591273188591003,6290,,,,,79088045,5140233,,,
2018-06-15,1344.2390918309748,6011.583006858826,22.25186538696289,84.9006118774414,22.255945205688477,84.9090347290039,0.8894361650215142,1.99284827709198,0.25036996603012085,9330,,,,,78212087,7751890,,,
2018-06-16,1338.611940123353,9279.39155202359,22.22296142578125,84.86349487304688,22.256132125854492,84.91094970703125,0.8835327471912542,17.594579696655273,0.11495710909366608,7524,,,,964499,77507995,6501475,,,
